Name,BioProject,BioSample,SRA,Assembly,Collection
MMMOSAM:ddafa912-d37f-472c-8807-a653cf5e7851,PRJNA604975,SAMN18254229,SRR13991609,NA,Oxford
MMMOSAM:dda57f8d-c588-4dc8-9b6b-9363078a893e,PRJNA604975,SAMN18254230,SRR13991610,NA,Oxford
MMMOSAM:dd652104-f063-4893-8fdc-1899ea8096dd,PRJNA604975,SAMN18254233,SRR13991611,NA,Oxford
MMMOSAM:dd3ade7d-120b-4fa7-b955-80b04a881dbc,PRJNA604975,SAMN18254234,SRR13991612,NA,Oxford
MMMOSAM:dd0d4e08-63d7-4bc8-8de4-f1570d2a52ec,PRJNA604975,SAMN18254235,SRR13991613,NA,Oxford
MMMOSAM:3a9b4d9d-13ff-4c02-aa84-b4127f0947fe,PRJNA604975,SAMN18262513,SRR13991614,NA,Oxford
MMMOSAM:cb98b1e7-d5a2-4cc2-8d0a-3fd16a833a06,PRJNA604975,SAMN18254404,SRR13991615,NA,Oxford
MMMOSAM:cb80b5d1-0c17-4f68-93b9-ea378a7674be,PRJNA604975,SAMN18254405,SRR13991616,NA,Oxford
MMMOSAM:3a441ebe-daf3-4801-955e-51ee5fb1589a,PRJNA604975,SAMN18262514,SRR13991617,NA,Oxford
MMMOSAM:3a3269a9-a577-4526-a1e4-710f6df75a13,PRJNA604975,SAMN18262515,SRR13991618,NA,Oxford
MMMOSAM:3a1b4019-c11f-41ea-8051-5c74c1773d70,PRJNA604975,SAMN18262516,SRR13991619,NA,Oxford
MMMOSAM:cb104eeb-41e4-4763-9938-7ef867fd8d25,PRJNA604975,SAMN18254409,SRR13991620,NA,Oxford
MMMOSAM:cab227bc-83cd-4514-b4e0-86020afc3a38,PRJNA604975,SAMN18254410,SRR13991621,NA,Oxford
MMMOSAM:3989ad34-5c58-4c75-a074-d03a9d67150b,PRJNA604975,SAMN18262517,SRR13991622,NA,Oxford
MMMOSAM:ca356c4e-106f-447a-8a36-5ebba91f9ada,PRJNA604975,SAMN18254412,SRR13991623,NA,Oxford
MMMOSAM:82990b20-3277-46e6-9fc3-5c3857c5cfff,PRJNA604975,SAMN18257071,SRR13991624,NA,Oxford
MMMOSAM:c9fbb869-e449-4bab-8523-9f301a3c38de,PRJNA604975,SAMN18254414,SRR13991625,NA,Oxford
MMMOSAM:c9f5b7ae-33db-466c-afba-32fcd27daffc,PRJNA604975,SAMN18254415,SRR13991626,NA,Oxford
MMMOSAM:82962f82-b8a9-4c84-bf64-374a72959c2b,PRJNA604975,SAMN18257072,SRR13991627,NA,Oxford
MMMOSAM:8259218e-f654-43e8-a948-66522c2edccd,PRJNA604975,SAMN18257075,SRR13991628,NA,Oxford
MMMOSAM:82281a7a-0e6c-4d84-8f99-a2bebcd1d62c,PRJNA604975,SAMN18257076,SRR13991629,NA,Oxford
MMMOSAM:c95d825e-277f-4489-b665-a93d7c730666,PRJNA604975,SAMN18254419,SRR13991630,NA,Oxford
MMMOSAM:c9295066-a458-4af9-a9fd-184143065eae,PRJNA604975,SAMN18254420,SRR13991631,NA,Oxford
MMMOSAM:82241459-2948-4aed-81a6-5d1a7461a835,PRJNA604975,SAMN18257077,SRR13991632,NA,Oxford
MMMOSAM:c90be670-ffe1-4b44-abcd-8afd20890b71,PRJNA604975,SAMN18254422,SRR13991633,NA,Oxford
MMMOSAM:818dafd5-9a79-4172-bc8c-e0cb619f84bb,PRJNA604975,SAMN18257080,SRR13991634,NA,Oxford
MMMOSAM:c8d40945-28b3-4717-93e0-025cd3692ded,PRJNA604975,SAMN18254424,SRR13991635,NA,Oxford
MMMOSAM:c8a274b1-2270-4516-8155-483b6a789ade,PRJNA604975,SAMN18254425,SRR13991636,NA,Oxford
MMMOSAM:818d39d0-e008-4148-ba53-f4a3a24e0387,PRJNA604975,SAMN18257081,SRR13991637,NA,Oxford
MMMOSAM:c865c8b6-c12f-4e7a-bec0-a4abb1c436e8,PRJNA604975,SAMN18254427,SRR13991638,NA,Oxford
MMMOSAM:8189ec04-3196-4bfe-a17a-85f3f0672e68,PRJNA604975,SAMN18257082,SRR13991639,NA,Oxford
MMMOSAM:c8529113-ff78-4d49-aba5-747029d1710d,PRJNA604975,SAMN18254429,SRR13991640,NA,Oxford
MMMOSAM:c819d2e3-1df1-45a6-9dd1-e4bd74f09887,PRJNA604975,SAMN18254430,SRR13991641,NA,Oxford
MMMOSAM:6c9dcff6-3212-4b8c-8970-f4d59081e4c7,PRJNA604975,SAMN18257272,SRR13991642,NA,Oxford
MMMOSAM:6c9927a2-6df4-4617-bc8b-17f08d953861,PRJNA604975,SAMN18257273,SRR13991643,NA,Oxford
MMMOSAM:2bb315ce-6907-4f03-9416-982c07d47256,PRJNA604975,SAMN18262937,SRR13991644,NA,Oxford
MMMOSAM:2b943914-08eb-42c6-a455-917ea155ed9b,PRJNA604975,SAMN18262938,SRR13991645,NA,Oxford
MMMOSAM:2b69f649-d756-45a9-8f20-26d04fa9a275,PRJNA604975,SAMN18262939,SRR13991646,NA,Oxford
MMMOSAM:6c166697-8c11-4da7-b060-f30fe360cf22,PRJNA604975,SAMN18257277,SRR13991647,NA,Oxford
MMMOSAM:6bbdda31-6a21-422a-ad7d-644f0833bdf6,PRJNA604975,SAMN18257278,SRR13991648,NA,Oxford
MMMOSAM:2b413398-36aa-4b72-8a63-8cb6617e6018,PRJNA604975,SAMN18262941,SRR13991649,NA,Oxford
MMMOSAM:6ba12ec2-8eaa-44f2-8a23-512410a1e373,PRJNA604975,SAMN18257280,SRR13991650,NA,Oxford
MMMOSAM:2b39f0a9-530e-4a5a-a333-bf95b89b27d4,PRJNA604975,SAMN18262942,SRR13991651,NA,Oxford
MMMOSAM:6b3698da-c8ad-453b-875e-b98a2d1b34a9,PRJNA604975,SAMN18257282,SRR13991652,NA,Oxford
