Name,BioProject,BioSample,SRA,Assembly,Collection
H1-002-0011-M-G,PRJEB35745,SAMEA6378025,NA,GCA_902708205.2,French
H1-002-0012-T-C,PRJEB35745,SAMEA6378026,NA,GCA_902708185.2,French
H1-002-0013-G-S,PRJEB35745,SAMEA6378027,NA,GCA_902708195.2,French
H1-002-0014-K-M,PRJEB35745,SAMEA6378028,NA,GCA_902708145.2,French
H1-002-0015-B-R,PRJEB35745,SAMEA6378029,NA,GCA_902708055.2,French
H1-002-0016-H-R,PRJEB35745,SAMEA6378030,NA,GCA_902708255.2,French
H1-002-0017-S-I,PRJEB35745,SAMEA6378031,NA,GCA_902708265.2,French
H1-002-0018-N-A,PRJEB35745,SAMEA6378032,NA,GCA_902708235.2,French
H1-002-0019-P-P,PRJEB35745,SAMEA6378033,NA,GCA_902708225.2,French
H1-002-0020-C-L,PRJEB35745,SAMEA6378034,NA,GCA_902708245.2,French
H1-002-0021-O-L,PRJEB35745,SAMEA6378035,NA,GCA_902708275.2,French
H1-002-0022-N-F,PRJEB35745,SAMEA6378036,NA,GCA_902708285.2,French
H1-002-0023-C-A,PRJEB35745,SAMEA6378037,NA,GCA_902708315.2,French
H1-002-0024-V-G,PRJEB35745,SAMEA6378038,NA,GCA_902708305.2,French
H1-002-0025-C-P,PRJEB35745,SAMEA6378039,NA,GCA_902708295.2,French
H1-002-0026-M-N,PRJEB35745,SAMEA6378040,NA,GCA_902708395.2,French
H1-002-0027-A-K,PRJEB35745,SAMEA6378041,NA,GCA_902708425.2,French
H1-002-0028-B-G,PRJEB35745,SAMEA6378042,NA,GCA_902708445.2,French
H1-002-0029-A-E,PRJEB35745,SAMEA6378043,NA,GCA_902708325.2,French
H1-002-0030-T-Y,PRJEB35745,SAMEA6378044,NA,GCA_902708375.2,French
H1-002-0031-C-S,PRJEB35745,SAMEA6378045,NA,GCA_902708405.2,French
H1-002-0032-S-C,PRJEB35745,SAMEA6378046,NA,GCA_902708415.2,French
H1-002-0033-S-R,PRJEB35745,SAMEA6378047,NA,GCA_902708385.2,French
H1-002-0034-C-Z,PRJEB35745,SAMEA6378048,NA,GCA_902708345.2,French
H1-002-0035-L-C,PRJEB35745,SAMEA6378049,NA,GCA_902708365.2,French
H1-002-0036-S-N,PRJEB35745,SAMEA6378050,NA,GCA_902708435.2,French
H1-002-0037-M-F,PRJEB35745,SAMEA6378051,NA,GCA_902708355.2,French
H1-002-0038-D-O,PRJEB35745,SAMEA6378052,NA,GCA_902708335.2,French
H1-002-0039-R-E,PRJEB35745,SAMEA6378053,NA,GCA_902708485.2,French
H1-002-0040-D-F,PRJEB35745,SAMEA6378054,NA,GCA_902708535.2,French
H1-002-0041-E-M,PRJEB35745,SAMEA6378055,NA,GCA_902708515.2,French
H1-002-0042-T-M,PRJEB35745,SAMEA6378056,NA,GCA_902708525.2,French
H1-002-0043-S-L,PRJEB35745,SAMEA6378057,NA,GCA_902708555.2,French
H1-002-0044-L-P,PRJEB35745,SAMEA6378058,NA,GCA_902708545.2,French
H1-002-0045-V-M,PRJEB35745,SAMEA6378059,NA,GCA_902708505.2,French
H1-002-0046-C-E,PRJEB35745,SAMEA6378060,NA,GCA_902708455.2,French
H1-002-0047-P-M,PRJEB35745,SAMEA6378061,NA,GCA_902708495.2,French
H1-002-0048-T-C,PRJEB35745,SAMEA6378062,NA,GCA_902708475.2,French
H1-002-0049-D-R,PRJEB35745,SAMEA6378063,NA,GCA_902708465.2,French
H1-002-0050-L-G,PRJEB35745,SAMEA6378064,NA,GCA_902708575.2,French
H1-002-0051-D-S,PRJEB35745,SAMEA6378065,NA,GCA_902708595.2,French
H1-002-0052-P-C,PRJEB35745,SAMEA6378066,NA,GCA_902708565.2,French
H1-002-0053-D-K,PRJEB35745,SAMEA6378067,NA,GCA_902708625.2,French
H1-002-0054-V-A,PRJEB35745,SAMEA6378068,NA,GCA_902708605.2,French
H1-002-0055-L-M,PRJEB35745,SAMEA6378069,NA,GCA_902708615.2,French
H1-002-0056-B-L,PRJEB35745,SAMEA6378070,NA,GCA_902708585.2,French
H1-002-0057-F-J,PRJEB35745,SAMEA6378071,NA,GCA_902708655.2,French
H1-002-0058-H-G,PRJEB35745,SAMEA6378072,NA,GCA_902708675.2,French
H1-002-0059-D-J,PRJEB35745,SAMEA6378073,NA,GCA_902708635.2,French
H1-002-0060-C-T,PRJEB35745,SAMEA6378074,NA,GCA_902708665.2,French
H1-002-0061-D-Z,PRJEB35745,SAMEA6378075,NA,GCA_902708685.2,French
H1-002-0062-F-N,PRJEB35745,SAMEA6378076,NA,GCA_902708645.2,French
H1-002-0063-C-M,PRJEB35745,SAMEA6378077,NA,GCA_902708805.2,French
H1-002-0064-E-M,PRJEB35745,SAMEA6378078,NA,GCA_902708705.2,French
H1-002-0065-O-P,PRJEB35745,SAMEA6378079,NA,GCA_902708735.2,French
H1-002-0066-F-K,PRJEB35745,SAMEA6378080,NA,GCA_902708785.2,French
H1-002-0067-L-Z,PRJEB35745,SAMEA6378081,NA,GCA_902708715.2,French
H1-002-0068-R-E,PRJEB35745,SAMEA6378082,NA,GCA_902708795.2,French
H1-002-0069-V-G,PRJEB35745,SAMEA6378083,NA,GCA_902708725.2,French
H1-002-0070-M-J,PRJEB35745,SAMEA6378084,NA,GCA_902708815.2,French
H1-002-0071-M-C,PRJEB35745,SAMEA6378085,NA,GCA_902708745.2,French
H1-002-0072-L-P,PRJEB35745,SAMEA6378086,NA,GCA_902708765.2,French
H1-002-0073-C-C,PRJEB35745,SAMEA6378087,NA,GCA_902708755.2,French
H1-002-0074-R-S,PRJEB35745,SAMEA6378088,NA,GCA_902708775.2,French
H1-002-0075-S-Y,PRJEB35745,SAMEA6378089,NA,GCA_902708695.2,French
H1-002-0076-C-S,PRJEB35745,SAMEA6378090,NA,GCA_902708835.2,French
H1-002-0077-B-G,PRJEB35745,SAMEA6378091,NA,GCA_902708845.2,French
H1-002-0078-L-J,PRJEB35745,SAMEA6378092,NA,GCA_902708825.2,French
H1-003-0001-F-L,PRJEB35745,SAMEA6378093,NA,GCA_902708865.2,French
H1-003-0002-N-D,PRJEB35745,SAMEA6378094,NA,GCA_902708925.2,French
H1-003-0003-A-N,PRJEB35745,SAMEA6378095,NA,GCA_902708905.2,French
H1-003-0004-V-F,PRJEB35745,SAMEA6378096,NA,GCA_902708885.2,French
H1-003-0005-M-C,PRJEB35745,SAMEA6378097,NA,GCA_902708935.2,French
H1-003-0006-O-H,PRJEB35745,SAMEA6378098,NA,GCA_902708915.2,French
H1-003-0007-V-V,PRJEB35745,SAMEA6378099,NA,GCA_902708895.2,French
H1-003-0008-A-C,PRJEB35745,SAMEA6378100,NA,GCA_902708855.2,French
H1-003-0009-G-T,PRJEB35745,SAMEA6378101,NA,GCA_902708945.2,French
H1-003-0010-G-J,PRJEB35745,SAMEA6378102,NA,GCA_902708875.2,French
H1-003-0011-C-R,PRJEB35745,SAMEA6378103,NA,GCA_902709105.2,French
H1-003-0012-P-A,PRJEB35745,SAMEA6378104,NA,GCA_902709135.2,French
H1-003-0013-F-G,PRJEB35745,SAMEA6378105,NA,GCA_902709115.2,French
H1-003-0014-B-N,PRJEB35745,SAMEA6378106,NA,GCA_902709085.2,French
H1-003-0015-M-G,PRJEB35745,SAMEA6378107,NA,GCA_902708985.2,French
H1-003-0016-A-A,PRJEB35745,SAMEA6378108,NA,GCA_902708955.2,French
H1-003-0017-T-S,PRJEB35745,SAMEA6378109,NA,GCA_902709145.2,French
H1-003-0018-G-T,PRJEB35745,SAMEA6378110,NA,GCA_902708965.2,French
H1-003-0019-B-M,PRJEB35745,SAMEA6378111,NA,GCA_902709095.2,French
H1-003-0020-T-P,PRJEB35745,SAMEA6378112,NA,GCA_902709055.2,French
H1-003-0021-B-C,PRJEB35745,SAMEA6378113,NA,GCA_902708975.2,French
H1-003-0022-D-M,PRJEB35745,SAMEA6378114,NA,GCA_902709125.2,French
H1-003-0023-D-G,PRJEB35745,SAMEA6378115,NA,GCA_902709065.2,French
H1-003-0024-A-P,PRJEB35745,SAMEA6378116,NA,GCA_902709035.2,French
H1-003-0025-B-A,PRJEB35745,SAMEA6378117,NA,GCA_902709075.2,French
H1-003-0026-R-A,PRJEB35745,SAMEA6378118,NA,GCA_902709015.2,French
H1-003-0027-L-P,PRJEB35745,SAMEA6378119,NA,GCA_902709045.2,French
H1-003-0028-B-I,PRJEB35745,SAMEA6378120,NA,GCA_902709005.2,French
