tsne1D,tsne2D,Standard_Cluster,Membership_Probability,Sample_Name
25.932580056448824,-19.93625139510933,1.0,0.3909162157698004,CP027321.1
25.267718996241403,-14.036002319195125,1.0,0.39921421972459237,CP027364.1
25.471397405637774,18.250528286183314,7.0,0.4299126763937161,CP027377.1
-15.133322573851776,-23.551287487445208,10.0,1.0,CP027485.1
16.824441765707515,-14.955357365479784,-1.0,0.0,CP027598.1
25.389126846198096,12.601626547541105,-1.0,0.0,CP027641.1
25.387923641563,-14.08972928348356,1.0,0.4042099849232698,CP027676.1
25.7838642436163,-20.19593649203759,-1.0,0.0,CP027764.1
-24.022661009490673,19.066297523394383,4.0,0.4868016062118151,CP031137.1
-2.5381503670541448,-3.020024447311044,13.0,1.0,CP034254.1
34.73462780148516,-24.52260319359794,1.0,0.7323722808338088,CP034937.1
27.843995085163467,-4.334807753431561,0.0,0.6487564532120524,CP041748.1
15.472999213960184,21.403088724253,7.0,1.0,CP042601.1
5.532839640275987,-25.34920661431441,8.0,0.7375351977802614,CP042619.1
-5.155396907305825,-7.509805056102171,-1.0,0.0,CP042621.1
-7.827271030192518,-10.299531669473462,13.0,0.7671817650062605,CP042630.1
4.902040940436158,-6.80810379980507,13.0,0.7613578426817451,CP042633.1
-8.869743684012679,-10.472567788142209,-1.0,0.0,CP042640.1
-3.9596732688308687,-6.3620439541656015,13.0,0.8483879166087007,CP042642.1
11.568708055727274,7.896062906374297,9.0,1.0,CP042948.1
21.7533125054191,-17.658524355543562,1.0,0.4262987211354187,CP042949.1
-0.7915562521422053,27.842490220005484,-1.0,0.0,CP042952.1
36.82493615029428,-17.6215757331574,1.0,0.8440669536859334,CP043012.1
36.84152371333553,-17.637967874281838,1.0,0.8401130402990414,CP043016.1
36.81381866312529,-17.64872067423585,1.0,0.8450085202007468,CP043020.1
36.829466728359556,-17.656650250630552,1.0,0.8455588444418578,CP043023.1
9.024047253777178,-25.384402797713136,-1.0,0.0,CP043735.1
